indi,region,gbm_bf,gbm_cv,gbm_tc,gbm_nminobs,gbm_ntrees,gbm_lr,date_added
cooking_fuel_solid,COD,0.5,3,6,12,117,0.051635143,NA
cooking_fuel_solid,dia_afr_horn,0.8,3,5,7,8000,0.03673235,8072019
cooking_fuel_solid,dia_central_asia,0.8,3,4,7,6329,0.023224168,8072019
cooking_fuel_solid,dia_chn_mng,0.8,3,5,15,7252,0.026752575,8072019
cooking_fuel_solid,dia_cssa,0.8,3,5,11,8000,0.020720821,8072019
cooking_fuel_solid,dia_cssa-cod,0.5,3,6,14,144,0.03184537,NA
cooking_fuel_solid,dia_essa,0.8,3,5,13,7995,0.030734404,8072019
cooking_fuel_solid,dia_essa-zwe-ken,0.5,3,6,8,248,0.04789859,NA
cooking_fuel_solid,dia_malay,0.8,3,5,13,2583,0.03233738,8072019
cooking_fuel_solid,dia_mcaca,0.8,3,5,15,8000,0.021566519,8072019
cooking_fuel_solid,dia_mid_east,0.8,3,4,9,4680,0.030303752,8072019
cooking_fuel_solid,dia_name,0.8,3,5,8,1642,0.02375944,8072019
cooking_fuel_solid,dia_s_america,0.8,3,5,14,8000,0.083957448,8072019
cooking_fuel_solid,dia_se_asia,0.8,3,4,14,7507,0.029332234,8072019
cooking_fuel_solid,dia_south_asia-ind-pak,0.5,3,5,11,1384,0.004243,NA
cooking_fuel_solid,dia_south_asia,0.8,3,4,14,6213,0.029068448,8072019
cooking_fuel_solid,dia_sssa,0.8,3,5,16,8000,0.106372789,8072019
cooking_fuel_solid,dia_wssa,0.8,3,5,14,8000,0.111100698,8072019
cooking_fuel_solid,dia_wssa-nga,0.5,3,6,11,3674,0.01497,NA
cooking_fuel_solid,IND,0.5,3,2,13,3570,0.022038,NA
cooking_fuel_solid,KEN,0.5,3,4,9,2259,0.000828,NA
cooking_fuel_solid,MNG,0.5,3,6,12,4041,0.011779,NA
cooking_fuel_solid,NGA,0.5,3,5,10,772,0.010068,NA
cooking_fuel_solid,PAK,0.5,3,6,11,5252,0.037334,NA
cooking_fuel_solid,ZWE,0.5,3,6,11,400,0.01398,NA
cooking_fuel_solid,dia_sssa-zaf,0.8,3,5,16,8000,0.106372789,8072019
cooking_fuel_solid,ZAF,0.8,3,5,16,8000,0.106372789,8072019
cooking_fuel_solid,dia_se_asia-vnm-tha,0.8,3,4,14,7507,0.029332234,8072019
cooking_fuel_solid,VNM,0.8,3,4,14,7507,0.029332234,8072019
cooking_fuel_solid,THA,0.8,3,4,14,7507,0.029332234,8072019
